     step      res        CD      CL   Cp1   Cp2
       250     0.1000E-03         1.5431         0.0002        -0.9015        -0.9013
       500     0.9971E-04         1.4192         0.0003        -0.6398        -0.6401
       750     0.6116E-04         1.3573         0.0002        -0.5065        -0.5062
      1000     0.7249E-04         1.3325         0.0002        -0.4837        -0.4841
      1250     0.5567E-04         1.3122         0.0000        -0.4489        -0.4485
      1500     0.5758E-04         1.3039         0.0003        -0.4492        -0.4500
      1750     0.4200E-04         1.2888        -0.0004        -0.4127        -0.4116
      2000     0.3869E-04         1.2825         0.0007        -0.4236        -0.4249
      2250     0.3457E-04         1.2745        -0.0012        -0.4023        -0.4007
      2500     0.3638E-04         1.2713         0.0013        -0.4058        -0.4069
      2750     0.3746E-04         1.2683        -0.0012        -0.3974        -0.3978
      3000     0.4576E-04         1.2650        -0.0000        -0.3969        -0.3929
      3250     0.5954E-04         1.2633         0.0030        -0.3884        -0.3982
      3500     0.8490E-04         1.2640        -0.0080        -0.4046        -0.3866
      3750     0.9922E-04         1.2685         0.0156        -0.3866        -0.4139
      4000     0.9963E-04         1.2803        -0.0246        -0.4407        -0.4054
      4250     0.9951E-04         1.2967         0.0354        -0.4141        -0.4565
      4500     0.9931E-04         1.3240        -0.0501        -0.5004        -0.4470
      4750     0.9916E-04         1.3554         0.0729        -0.4795        -0.5592
      5000     0.9989E-04         1.3850        -0.1061        -0.6261        -0.4934
